year,month,day,pressure,maxtemp,temparature,mintemp,dewpoint,humidity,cloud,rainfall,low visibility hour,sunshine,radiation,evaporation,winddirection,windspeed
2010,1,1,1018.1,18.1,16.2,15,11.4,73,84,微量,17,2.7,9.86,2,60,37.6
2010,1,2,1016.1,20,17.4,16.1,15.4,88,88,5.2,3,0.5,6.74,1.4,20,21.4
2010,1,3,1017.1,18.3,17,15.8,14.7,87,85,3.5,0,1.4,7.6,1.3,50,21.8
2010,1,4,1015.1,19.9,17.9,15.9,14.6,81,68,-,2,7.3,13.73,2.4,40,21.9
2010,1,5,1015.6,18.5,17.3,15.9,14.5,84,85,0.8,10,0.1,3.48,0.9,60,42.2
2010,1,6,1018.6,16.8,15.8,14.4,14.1,90,88,1.2,8,-,2.53,0.8,40,31.8
2010,1,7,1021.3,14.7,13.7,12.6,11.1,84,88,0.5,3,-,2.2,0.7,20,25.5
2010,1,8,1020.6,15.5,13.7,11.6,10.3,80,88,0.9,5,-,7.13,1.6,10,19.2
2010,1,9,1018.9,17.1,15.1,13.6,11.3,78,76,-,6,3.2,9.53,2.4,50,30.8
2010,1,10,1017.3,19.1,17.4,15.7,13.9,80,86,微量,6,3.1,10.73,1.2,40,30.1
2010,1,11,1018.3,18.2,15,12,13.2,89,80,12.5,0,-,2.21,1.6,360,26.7
2010,1,12,1023,15.2,12.1,9.9,5.3,63,21,-,10,9.6,16.13,3.4,360,36.8
2010,1,13,1026.8,15.9,12.9,9.8,3.4,53,45,-,18,9.5,16.71,3,10,22.8
2010,1,14,1026.6,16.1,14.5,12.8,8,66,57,微量,0,8.7,16.46,3,60,32.6
2010,1,15,1025,18.4,15.8,13.8,9.8,68,36,-,0,9,16.32,2.9,40,31.2
2010,1,16,1025.8,19.7,16.7,15,10.1,66,47,-,8,8.4,15.01,2.3,40,25.8
2010,1,17,1025.9,19.8,16.5,14.6,12.5,77,38,-,18,7.7,15.12,2.7,40,27.8
2010,1,18,1023.8,19.7,16.9,14.8,12.8,78,50,-,4,9.8,16.93,2.9,60,29.5
2010,1,19,1021,20.2,18.1,15.9,14.6,80,85,-,0,5,11.83,2,30,28
2010,1,20,1019.7,22.7,21.3,19.6,18.3,83,88,微量,2,0.1,5.47,0.6,30,30.5
2010,1,21,1018.5,24,22.3,21.3,20,87,81,-,0,1.6,5.82,2.1,60,27.4
2010,1,22,1021.5,21.6,18.3,16.5,15.9,86,85,微量,2,1.7,6.35,1.7,60,39.9
2010,1,23,1022.7,16.6,15.5,14.9,13.1,86,88,微量,11,-,2.8,0.9,30,26.6
2010,1,24,1021.1,17.1,15.7,14.5,13.1,85,88,微量,24,-,3.2,0.9,30,23.3
